STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACSH,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/28/1990,20,10,17,1008,0,0,8,,32,22,658,315,1,39.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/1/1990,50,30,16.78,2216,0,0,6,,36,20,652,225,0.5,39.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/2/1990,30,0,21.92,1603,0,0,4,,53,33,661,225,0.5,36.7,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/3/1990,90,100,9.62,2026,0,0,1,,50,35,287,360,,19.5,1,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/4/1990,40,10,17.45,533,0,0,0,,38,23,647,315,,32.2,1,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/5/1990,10,0,12.08,533,0,0,0,,35,16,686,360,,24.2,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/6/1990,70,100,12.53,2358,0.08,3.6,0,,27,17,57,360,0.1,23,1,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/7/1990,0,0,14.54,1610,0,0,3,,32,12,671,360,0.1,23,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/8/1990,10,10,12.08,2320,0,0,0,,42,18,694,270,,23,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/9/1990,0,0,10.29,130,0,0,0,,45,30,688,270,,20.8,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/10/1990,60,60,10.74,2023,0,0,0,,56,31,640,225,,21.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/11/1990,80,50,13.42,1210,0,0,0,,67,42,427,270,,25.3,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/12/1990,100,100,6.93,2308,0.14,0,0,,50,37,0,225,,16.1,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/13/1990,70,40,12.53,1453,0,0,0,,73,38,508,315,,31.1,1,,,,,,,1,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/14/1990,90,100,10.29,2252,0,0,0,,44,39,155,180,,18.3,1,1,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/15/1990,100,90,10.29,1545,0,0,0,,72,40,505,90,,19.5,1,1,,,,,,1,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/16/1990,70,90,10.29,2054,0,0,0,,61,40,330,225,,26.4,1,1,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/17/1990,100,100,19.01,1813,0.06,0,0,,70,56,256,225,,42.5,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/18/1990,70,90,14.09,451,0.34,0,0,,59,41,171,315,,32.2,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/19/1990,70,80,12.75,1700,0.05,0,0,,54,37,592,180,,23,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/20/1990,100,100,16.11,2051,0.4,0,0,,47,39,132,360,,26.4,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/21/1990,60,80,17.67,1453,0.08,0,0,,48,38,332,315,,43.6,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/22/1990,40,50,14.99,1624,0,0,0,,55,36,676,180,,30,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/23/1990,60,70,21.7,1754,0,0,0,,64,31,522,315,,50.6,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/24/1990,90,100,11.18,956,0,0,0,,40,27,564,225,,25.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,3/25/1990,30,30,12.53,1506,0,0,0,,46,31,618,90,,24.2,,,,,,,,,,,,,,,,,,,,
