,Crash Number,Crash Date,Crash Severity,Ambient Light
8370,2639416,9/8/2010,Property damage only (none injured),Daylight
8371,2639417,9/8/2010,Property damage only (none injured),Not reported
8372,2639424,9/8/2010,Property damage only (none injured),Daylight
8373,2639760,9/8/2010,Property damage only (none injured),Daylight
8374,2639901,9/7/2010,Property damage only (none injured),Daylight
8375,2640239,8/28/2010,Fatal injury,Dark - lighted roadway
8376,2642131,9/12/2010,Property damage only (none injured),Daylight
8377,2642716,8/29/2010,Property damage only (none injured),Dark - roadway not lighted
8378,2642720,9/12/2010,Property damage only (none injured),Dark - lighted roadway
8379,2642721,9/9/2010,Not Reported,Daylight
8380,2642722,9/9/2010,Non-fatal injury,Dark - lighted roadway
8381,2642724,9/11/2010,Non-fatal injury,Daylight
8382,2643050,9/17/2010,Property damage only (none injured),Dark - lighted roadway
8383,2643135,9/15/2010,Non-fatal injury,Dark - lighted roadway
8384,2643136,9/15/2010,Non-fatal injury,Dark - lighted roadway
8385,2643138,9/15/2010,Property damage only (none injured),Daylight
8386,2643140,9/16/2010,Non-fatal injury,Daylight
8387,2643142,9/16/2010,Property damage only (none injured),Dusk
8388,2643211,9/15/2010,Not Reported,Daylight
8389,2643737,8/18/2009,Non-fatal injury,Dusk
8390,2643822,7/7/2009,Property damage only (none injured),Daylight
8391,2644206,9/13/2010,Non-fatal injury,Daylight
8392,2644879,8/7/2009,Property damage only (none injured),Daylight
8393,2644895,8/23/2009,Non-fatal injury,Daylight
8394,2644936,6/19/2009,Non-fatal injury,Daylight
8395,2645627,9/13/2010,Property damage only (none injured),Daylight
8396,2645663,9/9/2010,Property damage only (none injured),Daylight
8397,2646075,8/22/2009,Not Reported,Dark - lighted roadway
8398,2646871,9/27/2010,Property damage only (none injured),Dark - lighted roadway
8399,2647013,7/9/2009,Property damage only (none injured),Daylight
8400,2647014,5/8/2009,Non-fatal injury,Daylight
8401,2647164,9/30/2010,Property damage only (none injured),Daylight
8402,2647240,9/27/2010,Property damage only (none injured),Daylight
8403,2647568,8/16/2009,Property damage only (none injured),Daylight
8404,2647579,8/1/2009,Property damage only (none injured),Daylight
8405,2647596,8/13/2009,Property damage only (none injured),Daylight
8406,2647706,9/28/2010,Non-fatal injury,Daylight
8407,2647793,9/19/2010,Non-fatal injury,Daylight
8408,2647795,9/27/2010,Non-fatal injury,Daylight
8409,2647796,9/28/2010,Non-fatal injury,Daylight
8410,2647798,9/27/2010,Property damage only (none injured),Daylight
8411,2648041,10/4/2010,Non-fatal injury,Daylight
8412,2648928,10/8/2010,Property damage only (none injured),Daylight
8413,2649603,6/27/2010,Unknown,Dark - lighted roadway
8414,2649816,10/5/2010,Property damage only (none injured),Daylight
8415,2650424,10/10/2010,Non-fatal injury,Daylight
8416,2650428,10/6/2010,Non-fatal injury,Daylight
8417,2650433,10/6/2010,Property damage only (none injured),Dark - lighted roadway
8418,2650447,10/1/2010,Not Reported,Dusk
8419,2650449,10/3/2010,Not Reported,Daylight
8420,2650578,7/14/2009,Property damage only (none injured),Daylight
8421,2650599,10/5/2010,Property damage only (none injured),Dark - lighted roadway
8422,2650740,8/7/2009,Non-fatal injury,Daylight
8423,2650745,8/13/2009,Non-fatal injury,Daylight
8424,2650789,9/29/2010,Property damage only (none injured),Dark - lighted roadway
8425,2650894,10/7/2010,Property damage only (none injured),Dusk
8426,2650895,10/7/2010,Non-fatal injury,Dark - lighted roadway
8427,2650897,10/9/2010,Property damage only (none injured),Dark - lighted roadway
8428,2650898,10/9/2010,Non-fatal injury,Daylight
8429,2650900,10/10/2010,Property damage only (none injured),Dark - lighted roadway
8430,2650902,10/13/2010,Property damage only (none injured),Dusk
8431,2650905,10/11/2010,Non-fatal injury,Daylight
8432,2650944,10/14/2010,Property damage only (none injured),Daylight
8433,2650946,10/14/2010,Property damage only (none injured),Daylight
8434,2651377,7/28/2009,Not Reported,Daylight
8435,2651753,10/16/2010,Non-fatal injury,Daylight
8436,2652381,10/11/2010,Fatal injury,Daylight
8437,2652384,10/13/2010,Fatal injury,Daylight
8438,2652814,8/14/2009,Not Reported,Dark - lighted roadway
8439,2653050,10/15/2010,Non-fatal injury,Dark - lighted roadway
