lat,long,og
42.2748841,-71.3130564,"(42.2748841, -71.3130564)"
42.272204,-71.3663457,"(42.272204, -71.3663457)"
42.270202,-71.34208339999999,"(42.270202, -71.34208339999999)"
42.2628733,-71.3154304,"(42.2628733, -71.3154304)"
42.2773665,-71.33395329999999,"(42.2773665, -71.33395329999999)"
42.2552183,-71.34824590000001,"(42.2552183, -71.34824590000001)"
42.270598,-71.3699069,"(42.270598, -71.3699069)"
42.267181,-71.3092982,"(42.267181, -71.3092982)"
42.265156,-71.3154699,"(42.265156, -71.3154699)"
42.2697688,-71.3532345,"(42.2697688, -71.3532345)"
42.274967,-71.3694838,"(42.274967, -71.3694838)"
42.2779177,-71.37206929999999,"(42.2779177, -71.37206929999999)"
42.265664,-71.3311682,"(42.265664, -71.3311682)"
42.2530489,-71.3135668,"(42.2530489, -71.3135668)"
42.2748813,-71.373239,"(42.2748813, -71.373239)"
42.2783643,-71.37717219999999,"(42.2783643, -71.37717219999999)"
42.276361,-71.37226799999999,"(42.276361, -71.37226799999999)"
42.2581255,-71.33843499999999,"(42.2581255, -71.33843499999999)"
42.2723693,-71.33405069999999,"(42.2723693, -71.33405069999999)"
42.2765247,-71.38131349999999,"(42.2765247, -71.38131349999999)"
42.2727642,-71.33507139999999,"(42.2727642, -71.33507139999999)"
42.257754,-71.3444198,"(42.257754, -71.3444198)"
42.2595945,-71.3534906,"(42.2595945, -71.3534906)"
42.2738119,-71.3418038,"(42.2738119, -71.3418038)"
42.271253,-71.34952369999999,"(42.271253, -71.34952369999999)"
42.2734448,-71.31129279999999,"(42.2734448, -71.31129279999999)"
42.2619669,-71.35049939999999,"(42.2619669, -71.35049939999999)"
42.2491207,-71.31964479999999,"(42.2491207, -71.31964479999999)"
42.273776,-71.370165,"(42.273776, -71.370165)"
42.2731558,-71.374622,"(42.2731558, -71.374622)"
42.27811,-71.371235,"(42.27811, -71.371235)"
42.2714501,-71.3763392,"(42.2714501, -71.3763392)"
42.2562907,-71.31518489999999,"(42.2562907, -71.31518489999999)"
42.2720422,-71.337971,"(42.2720422, -71.337971)"
42.2667996,-71.3302862,"(42.2667996, -71.3302862)"
42.2546262,-71.3134276,"(42.2546262, -71.3134276)"
42.259893,-71.34274959999999,"(42.259893, -71.34274959999999)"
42.2760043,-71.36998179999999,"(42.2760043, -71.36998179999999)"
42.26920399999999,-71.33890199999999,"(42.26920399999999, -71.33890199999999)"
42.2606747,-71.34274959999999,"(42.2606747, -71.34274959999999)"
42.265491,-71.3154773,"(42.265491, -71.3154773)"
42.2631557,-71.3359335,"(42.2631557, -71.3359335)"
42.2688644,-71.31133969999999,"(42.2688644, -71.31133969999999)"
42.2743042,-71.3456724,"(42.2743042, -71.3456724)"
42.268362,-71.3432026,"(42.268362, -71.3432026)"
42.2581873,-71.34058929999999,"(42.2581873, -71.34058929999999)"
42.2681207,-71.35184269999999,"(42.2681207, -71.35184269999999)"
42.275867,-71.382857,"(42.275867, -71.382857)"
42.2686259,-71.3577396,"(42.2686259, -71.3577396)"
42.26440119999999,-71.3340339,"(42.26440119999999, -71.3340339)"
42.2583119,-71.351286,"(42.2583119, -71.351286)"
42.2601582,-71.31551499999999,"(42.2601582, -71.31551499999999)"
42.275941,-71.3215471,"(42.275941, -71.3215471)"
42.25868759999999,-71.349755,"(42.25868759999999, -71.349755)"
42.2671001,-71.3517499,"(42.2671001, -71.3517499)"
42.2737424,-71.37413140000001,"(42.2737424, -71.37413140000001)"
42.27793399999999,-71.37501499999999,"(42.27793399999999, -71.37501499999999)"
42.2743206,-71.32768580000001,"(42.2743206, -71.32768580000001)"
42.2728986,-71.3116628,"(42.2728986, -71.3116628)"
42.270958,-71.38314799999999,"(42.270958, -71.38314799999999)"
42.2757361,-71.3122731,"(42.2757361, -71.3122731)"
42.277832,-71.38689,"(42.277832, -71.38689)"
42.27790299999999,-71.3445907,"(42.27790299999999, -71.3445907)"
42.2752792,-71.3202033,"(42.2752792, -71.3202033)"
42.2507643,-71.32348139999999,"(42.2507643, -71.32348139999999)"
42.2798952,-71.37786799999999,"(42.2798952, -71.37786799999999)"
