lat,long,og
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.2890983,-71.37438879999999,"(42.2890983, -71.37438879999999)"
42.3075704,-71.366085,"(42.3075704, -71.366085)"
42.3075704,-71.366085,"(42.3075704, -71.366085)"
42.3071959,-71.3677318,"(42.3071959, -71.3677318)"
42.3071959,-71.3677318,"(42.3071959, -71.3677318)"
42.30748,-71.368397,"(42.30748, -71.368397)"
42.2789544,-71.3474354,"(42.2789544, -71.3474354)"
42.2838015,-71.38385219999999,"(42.2838015, -71.38385219999999)"
42.2838015,-71.38385219999999,"(42.2838015, -71.38385219999999)"
42.2906702,-71.38997549999999,"(42.2906702, -71.38997549999999)"
42.2910717,-71.3899291,"(42.2910717, -71.3899291)"
42.2886456,-71.3888853,"(42.2886456, -71.3888853)"
42.2889399,-71.388268,"(42.2889399, -71.388268)"
42.2880816,-71.3880736,"(42.2880816, -71.3880736)"
42.2880816,-71.3880736,"(42.2880816, -71.3880736)"
42.2772838,-71.3518891,"(42.2772838, -71.3518891)"
42.277199,-71.3524922,"(42.277199, -71.3524922)"
42.2768424,-71.35258499999999,"(42.2768424, -71.35258499999999)"
42.2771082,-71.3532809,"(42.2771082, -71.3532809)"
42.2768634,-71.3553685,"(42.2768634, -71.3553685)"
42.2700842,-71.3408243,"(42.2700842, -71.3408243)"
42.2700842,-71.3408243,"(42.2700842, -71.3408243)"
42.2949261,-71.3468322,"(42.2949261, -71.3468322)"
42.2949261,-71.3468322,"(42.2949261, -71.3468322)"
42.2948031,-71.34632189999999,"(42.2948031, -71.34632189999999)"
42.2948031,-71.34632189999999,"(42.2948031, -71.34632189999999)"
42.2948031,-71.34632189999999,"(42.2948031, -71.34632189999999)"
42.2953905,-71.34627549999999,"(42.2953905, -71.34627549999999)"
42.2939875,-71.3370431,"(42.2939875, -71.3370431)"
42.28902530000001,-71.3351874,"(42.28902530000001, -71.3351874)"
42.28846130000001,-71.3353729,"(42.28846130000001, -71.3353729)"
42.28846130000001,-71.3353729,"(42.28846130000001, -71.3353729)"
42.2893676,-71.3342363,"(42.2893676, -71.3342363)"
42.2893676,-71.3342363,"(42.2893676, -71.3342363)"
42.2894459,-71.3328212,"(42.2894459, -71.3328212)"
42.3151727,-71.35631959999999,"(42.3151727, -71.35631959999999)"
42.2762682,-71.37044569999999,"(42.2762682, -71.37044569999999)"
42.276726,-71.37095599999999,"(42.276726, -71.37095599999999)"
42.3118085,-71.3569922,"(42.3118085, -71.3569922)"
42.2742419,-71.3601469,"(42.2742419, -71.3601469)"
42.2729722,-71.3605644,"(42.2729722, -71.3605644)"
42.2729722,-71.3605644,"(42.2729722, -71.3605644)"
42.3085301,-71.35430149999999,"(42.3085301, -71.35430149999999)"
42.30994829999999,-71.3530025,"(42.30994829999999, -71.3530025)"
