,Name,GRADE,API_AD,coord,Lat,Lon,Color
231,42 FOURTH ST CHELSEA MA,Average,42+FOURTH+ST+CHELSEA+MA,"(42.3920543, -71.036576)",42.391395,-71.0288023,orange
232,44 FOURTH ST CHELSEA MA,Average,44+FOURTH+ST+CHELSEA+MA,"(42.3921302, -71.036614)",42.3913623,-71.0284422,orange
233,195 CHESTNUT ST CHELSEA MA,Average,195+CHESTNUT+ST+CHELSEA+MA,"(42.392226, -71.03672209999999)",42.39124839999999,-71.02821010000001,orange
234,181 CHESTNUT ST CHELSEA MA,Average,181+CHESTNUT+ST+CHELSEA+MA,"(42.3919355, -71.03710149999999)",42.391319,-71.028116,orange
235,186 CHESTNUT ST CHELSEA MA,Average,186+CHESTNUT+ST+CHELSEA+MA,"(42.3923097, -71.03727239999999)",42.391281,-71.027884,orange
236,202 CHESTNUT ST CHELSEA MA,Average +10,202+CHESTNUT+ST+CHELSEA+MA,"(42.392672, -71.0366372)",42.3909397,-71.0278154,orange
237,205 CHESTNUT ST CHELSEA MA,Average +10,205+CHESTNUT+ST+CHELSEA+MA,"(42.3924311, -71.03639550000001)",42.3911901,-71.02765289999999,orange
238,199 CHESTNUT ST CHELSEA MA,Average +20,199+CHESTNUT+ST+CHELSEA+MA,"(42.39240179999999, -71.0363587)",42.3908616,-71.0274672,orange
239,35 FOURTH ST CHELSEA MA,Average,35+FOURTH+ST+CHELSEA+MA,"(42.3921316, -71.03608009999999)",42.3911252,-71.0271654,orange
240,350 BROADWAY CHELSEA MA,Average,350+BROADWAY+CHELSEA+MA,"(42.3919674, -71.03598720000001)",42.3910788,-71.0270029,orange
241,360 BROADWAY CHELSEA MA,Average +10,360+BROADWAY+CHELSEA+MA,"(42.3920839, -71.03580149999999)",42.391047,-71.0268172,orange
242,376 BROADWAY CHELSEA MA,Average +10,376+BROADWAY+CHELSEA+MA,"(42.39214399999999, -71.035658)",42.390665,-71.02676,orange
243,380 BROADWAY CHELSEA MA,Average,380+BROADWAY+CHELSEA+MA,"(42.392178, -71.03559260000002)",42.390665,-71.02676,orange
244,388 BROADWAY CHELSEA MA,Average,388+BROADWAY+CHELSEA+MA,"(42.3921992, -71.0354997)",42.390636,-71.026595,orange
245,394 BROADWAY CHELSEA MA,Average,394+BROADWAY+CHELSEA+MA,"(42.3922542, -71.03544169999999)",42.3906112,-71.0263296,orange
246,396 BROADWAY CHELSEA MA,Average,396+BROADWAY+CHELSEA+MA,"(42.3922833, -71.0353952)",42.390798,-71.0257957,orange
247,400 BROADWAY CHELSEA MA,Average,400+BROADWAY+CHELSEA+MA,"(42.392304, -71.035377)",42.391175,-71.0295934,orange
248,404 BROADWAY CHELSEA MA,Average,404+BROADWAY+CHELSEA+MA,"(42.392331, -71.03532899999999)",42.3914707,-71.02813669999999,orange
249,408 BROADWAY CHELSEA MA,Average,408+BROADWAY+CHELSEA+MA,"(42.3922953, -71.0352168)",42.3914707,-71.02813669999999,orange
250,416 BROADWAY CHELSEA MA,Average,416+BROADWAY+CHELSEA+MA,"(42.3924145, -71.0351863)",42.3977704,-71.031646,orange
251,422 BROADWAY CHELSEA MA,Average,422+BROADWAY+CHELSEA+MA,"(42.392466, -71.03509)",42.3980174,-71.0315183,orange
252,426 BROADWAY CHELSEA MA,Average,426+BROADWAY+CHELSEA+MA,"(42.392506, -71.03501899999999)",42.397773,-71.031469,orange
253,434 BROADWAY CHELSEA MA,Average,434+BROADWAY+CHELSEA+MA,"(42.3925393, -71.0349603)",42.397773,-71.031469,orange
254,443 BROADWAY CHELSEA MA,Average +10,443+BROADWAY+CHELSEA+MA,"(42.3924651, -71.0343704)",42.398229,-71.03164199999999,orange
255,435 BROADWAY CHELSEA MA,Average,435+BROADWAY+CHELSEA+MA,"(42.3923662, -71.03452469999999)",42.398276,-71.031774,orange
256,413 BROADWAY CHELSEA MA,Average,413+BROADWAY+CHELSEA+MA,"(42.3921679, -71.0348273)",42.398342,-71.0318549,orange
257,411 BROADWAY CHELSEA MA,Average,411+BROADWAY+CHELSEA+MA,"(42.3921403, -71.03488449999999)",42.398411,-71.031941,orange
258,407 BROADWAY CHELSEA MA,Average +10,407+BROADWAY+CHELSEA+MA,"(42.39213729999999, -71.0350219)",42.3986827,-71.0322934,orange
259,403 BROADWAY CHELSEA MA,Average,403+BROADWAY+CHELSEA+MA,"(42.39203759999999, -71.03498900000001)",42.3987406,-71.0323921,orange
260,399 BROADWAY CHELSEA MA,Average,399+BROADWAY+CHELSEA+MA,"(42.3918893, -71.03498900000001)",42.3988284,-71.0325001,orange
261,165 HAWTHORN ST CHELSEA MA,Average +10,165+HAWTHORN+ST+CHELSEA+MA,"(42.392169, -71.0341)",42.398894,-71.032506,orange
262,153 HAWTHORN ST CHELSEA MA,Average,153+HAWTHORN+ST+CHELSEA+MA,"(42.391881, -71.034258)",42.398911,-71.032634,orange
